"metric","category","clip_id","method","status","reason"
"frequency","static","static_01","proposed","ok",
"frequency","static","static_02","frame_wise","ok",
"frequency","static","static_02","optical_flow","ok",
"frequency","static","static_02","proposed","ok",
"frequency","static","static_03","frame_wise","ok",
"frequency","static","static_03","optical_flow","ok",
"frequency","static","static_03","proposed","ok",
"frequency","static","static_04","frame_wise","ok",
"frequency","static","static_04","optical_flow","ok",
"frequency","static","static_04","proposed","ok",
"frequency","static","static_05","frame_wise","ok",
"frequency","static","static_05","optical_flow","ok",
"frequency","static","static_05","proposed","ok",
"frequency","static","static_06","frame_wise","ok",
"frequency","static","static_06","optical_flow","ok",
"frequency","static","static_06","proposed","ok",
"frequency","static","static_07","frame_wise","ok",
"frequency","static","static_07","optical_flow","ok",
"frequency","static","static_07","proposed","ok",
"frequency","static","static_08","frame_wise","ok",
"frequency","static","static_08","optical_flow","ok",
